Point,Type,NAME,KIND,TELEPHONE,ADMINCODE,ADDRESS
"[[121.3405641, 30.709522934999985]]",7,滨海公园,7300,021-57931120|021-58293031,310116,新城路16号
"[[121.3356177, 30.712775264999966]]",7,荟萃园,7300,,310116,大堤路208
"[[121.33113371999998, 30.714949755000028]]",7,小公园,7380,,310116,复旦大学附属金山医院对面
"[[121.31218476000004, 30.72756703500002]]",7,飞虹公园,7380,,310116,飞虹村路
"[[121.34722013999996, 30.730012739999964]]",7,山阳广场,7380,,310116,战斗港路
"[[121.34273993999999, 30.732779745000023]]",7,中央大道景观绿地,7380,,310116,前京大道
"[[121.33263042000002, 30.73281705]]",7,山龙绿地广场,7380,,310116,板桥西路
"[[121.33746990000003, 30.742313895000002]]",7,金山广场,7380,,310116,海云路
"[[121.41336150000001, 30.79644318000004]]",7,建龙广场,7380,,310116,共建路
"[[121.27927733999998, 30.805584029999984]]",7,张堰公园,7300,021-57213033,310116,花贤路68号
"[[121.28151455999999, 30.808730204999975]]",7,张堰镇东风绿地,7380,021-57213185,310116,金张公路
"[[121.51521414000003, 30.818296350000026]]",7,海湾字茂文化广场,7380,,310120,海湾路9号
"[[121.51529676000001, 30.820867874999987]]",7,海湾国际风筝放飞场,7380,,310120,金汇塘路508
"[[121.23159119999997, 30.831890084999987]]",7,车镜广场,7380,,310116,汇丰大街
"[[121.17815081999998, 30.83343291000001]]",7,蟠桃广场,7380,,310116,朱吕公路
"[[121.23152964000002, 30.83584661999997]]",7,车镜公园,7300,021-57203261,310116,朱吕公路3858号
"[[121.51444626, 30.83909381999997]]",7,上海师范大学奉贤校区－樱花园,7380,,310120,海港路100号
"[[121.51087775999997, 30.845925314999974]]",7,上海应用技术学院－火车头广场,7380,,310120,大学东路
"[[121.33715903999999, 30.858979140000027]]",7,平安广场,7380,,310116,恒康路
"[[121.68216144, 30.863157210000043]]",7,上海海湾国家森林公园,7300,021-57160468,310120,随塘河路1677号
"[[121.70931876, 30.86445199499997]]",7,上海海湾国家森林公园（东门）,7300,,310120,
"[[121.58596872000004, 30.867574679999972]]",7,上海都市菜园,7300,021-37571111|021-37571000,310120,海兴路888弄1号
"[[121.73014278000002, 30.868104555000027]]",7,五四文化广场,7380,,310120,五四公路
"[[121.67435322, 30.86831092499996]]",7,上海海湾国家森林公园西门,7300,,310120,随塘河路1677
"[[121.69574135999997, 30.86842684499996]]",7,上海海湾国家森林公园东北门,7300,021-57160468,310120,随塘河路
"[[121.07445984, 30.870750375000007]]",7,枫泾镇兴塔社区健身苑,7380,,310116,新金山路
"[[121.85449109999999, 30.87285354000003]]",7,律动园,7380,,310115,江山路
"[[121.85615448000003, 30.87510471000004]]",7,海尚社区文体广场,7380,,310115,潮和路
"[[121.53771611999996, 30.875893290000008]]",7,钱桥社区文化广场,7380,,310120,振水路
"[[121.89695400000001, 30.882545999999962]]",7,汇海广场,7380,,310115,
"[[121.30833942000001, 30.88390783500002]]",7,亭林公园,7300,021-67230555,310116,亭林镇华亭路51号
"[[121.96960434000002, 30.884764365000013]]",7,南汇嘴观海公园,7300,,310115,东海大桥旁
"[[121.39263899999995, 30.886336080000028]]",7,倩舍意象,7300,,310120,南庄路与庄良公路交叉口西南角
"[[121.39316837999996, 30.88674522000004]]",7,倩舍意象东门,7300,,310120,南庄路与庄良公路交叉口西南角
"[[121.39010027999996, 30.886916760000023]]",7,倩舍意象北门,7300,,310120,潘垫北路
"[[121.01337683999998, 30.887688330000003]]",7,枫溪公园,7300,021-57351429,310116,新泾路45号
"[[121.01196114, 30.889270980000035]]",7,文化广场,7380,,310116,新泾路
